"","REALRINC","SIBS","AGE","HAPPY","HEALTH","YOUNGEN"
"11725",3021,2,20,2,1,2
"11726",16994,10,58,1,2,1
"11728",20770,15,37,1,2,2
"11730",24547,6,37,2,2,2
"11731",24547,5,36,2,3,1
"11732",16994,0,44,1,1,1
"11733",755,6,71,1,1,1
"11735",9819,2,42,1,1,1
"11736",16994,3,40,2,3,1
"11737",28323,0,31,2,2,2
"11738",24547,3,29,1,1,2
"11739",16994,2,25,2,3,2
"11741",11329,1,46,2,2,2
"11743",3021,2,28,2,3,1
"11744",13595,3,24,2,1,2
"11746",5287,2,49,2,2,2
"11747",56647,1,36,2,1,1
"11748",139297,0,57,2,1,2
"11749",5287,1,33,2,1,2
"11751",56647,2,37,2,2,2
"11752",24547,3,24,2,2,2
"11754",20770,1,38,2,3,2
"11755",52510.1445,5,37,1,2,1
"11758",755,2,22,1,1,1
"11760",6798,13,65,2,3,1
"11763",24547,13,58,3,1,2
"11764",52510.1445,5,31,2,1,2
"11765",11329,1,34,2,1,2
"11766",11329,6,27,3,2,2
"11768",11329,1,52,3,3,2
"11769",8308,2,24,3,2,2
"11771",5287,4,27,1,1,1
"11772",3021,4,23,2,2,1
"11773",24547,4,23,2,2,1
"11775",13595,1,26,1,1,2
"11777",32100,5,56,3,2,1
"11778",20770,2,42,2,2,2
"11779",52510.1445,4,20,2,1,2
"11781",24547,4,53,2,2,1
"11782",13595,4,29,2,1,1
"11784",5287,7,47,2,3,2
"11785",20770,6,24,2,2,1
"11786",3021,2,29,2,2,2
"11787",28323,2,24,2,2,2
"11788",20770,2,25,2,2,2
"11790",56647,1,43,1,2,1
"11791",52510.1445,6,36,1,2,2
"11794",20770,2,39,2,2,1
"11796",3021,3,20,2,2,1
"11797",28323,6,30,3,3,2
"11803",11329,4,23,3,1,2
"11804",16994,11,52,1,1,2
"11805",16994,0,56,2,2,2
"11809",28323,2,64,1,2,2
"11811",28323,5,53,1,2,2
"11814",32100,2,54,2,2,2
"11815",24547,5,36,1,1,2
"11818",56647,2,37,1,1,2
"11819",28323,0,33,2,2,2
"11820",20770,1,43,2,2,2
"11821",20770,2,35,2,1,2
"11822",20770,20,28,2,3,2
"11823",3021,9,45,2,3,2
"11824",13595,4,31,1,1,2
"11825",20770,1,43,2,4,2
"11826",20770,2,35,2,1,2
"11827",11329,2,27,3,3,2
"11828",24547,1,40,2,1,2
"11829",56647,2,33,2,2,2
"11830",13595,2,26,3,2,2
"11831",56647,4,39,2,2,2
"11835",20770,2,21,2,1,2
"11836",16994,1,29,2,1,2
"11837",16994,5,30,2,1,2
"11838",13595,5,21,2,1,2
"11839",20770,1,36,2,2,2
"11840",28323,1,21,2,1,2
"11841",52510.1445,4,57,1,1,1
"11842",32100,2,35,3,1,2
"11843",755,3,33,2,2,1
"11844",13595,3,55,2,2,2
"11845",755,6,19,1,3,1
"11846",16994,1,33,1,2,2
"11847",24547,3,28,3,2,1
"11848",28323,4,53,3,2,2
"11849",20770,5,32,2,1,2
"11851",16994,7,22,2,1,2
"11855",32100,1,46,2,2,2
"11856",16994,5,31,1,3,1
"11857",5287,8,21,2,3,2
"11858",13595,2,70,1,1,2
"11859",56647,2,26,2,2,2
"11860",13595,5,49,2,3,1
"11861",16994,2,25,1,1,1
"11863",9819,4,21,1,1,1
"11865",5287,1,32,1,1,2
"11866",13595,4,29,2,1,1
"11867",3021,1,25,2,1,2
"11868",56647,0,32,2,1,2
"11869",16994,4,21,3,2,2
"11870",24547,1,30,1,2,2
"11871",755,4,22,1,1,2
"11872",20770,5,30,1,1,2
"11875",16994,8,26,1,2,1
"11876",13595,1,24,2,2,2
"11877",56647,4,89,1,1,2
"11880",13595,5,34,3,2,1
"11881",28323,2,31,2,2,1
"11882",3021,7,33,3,3,2
"11883",16994,3,28,2,3,2
"11885",16994,1,29,2,1,2
"11887",3021,3,30,2,1,2
"11888",13595,4,35,2,1,2
"11892",56647,2,33,2,1,1
"11893",28323,13,37,2,1,1
"11894",16994,3,23,2,2,2
"11895",28323,2,64,1,2,1
"11896",13595,4,27,2,2,1
"11899",11329,5,23,1,3,2
"11905",28323,2,37,2,2,1
"11913",52510.1445,1,34,1,1,1
"11917",16994,2,28,2,2,1
"11918",56647,1,33,2,1,2
"11919",56647,4,53,1,1,2
"11920",52510.1445,3,47,2,1,2
"11922",139297,4,57,2,1,2
"11923",755,3,50,1,3,2
"11926",32100,4,48,2,3,2
"11929",3021,7,34,2,2,1
"11930",24547,1,57,3,3,1
"11931",16994,5,58,2,2,1
"11932",8308,1,65,2,2,1
"11934",3021,3,25,2,3,2
"11935",20770,6,24,1,1,2
"11937",11329,0,33,1,1,2
"11938",16994,9,32,2,2,2
"11939",3021,2,59,2,4,1
"11940",3021,2,58,2,2,1
"11943",24547,3,25,2,1,2
"11944",20770,12,29,2,1,2
"11949",16994,5,27,2,4,2
"11951",28323,5,46,2,2,1
"11958",24547,1,40,2,1,2
"11959",16994,1,52,1,2,1
"11960",3021,8,29,2,2,2
"11961",13595,2,39,2,2,1
"11968",3021,4,20,3,1,2
